district_code,district_name,category,student_group,2021_2022_student_count,2021_2022_attendance_rate,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update
130011,bozrah school district,unknown,all students,0.0002778527380488341,0.8976780794962611,0.0003285680881771929,0.9204923486360612,0.0003344178964720879,0.7994363550962893,Jun-22,2022-07-22
130011,bozrah school district,students with disabilities,students with disabilities,1.5991524492019223e-05,0.8402203856749311,5.2409633696975556e-05,0.8386560212907521,5.901492290683904e-05,0.6829497416627524,Jun-22,2022-07-22
130011,bozrah school district,free/reduced lunch,free/reduced price meal eligible,8.795338470610576e-05,0.8823297914207004,0.00012699257395805617,0.8998669328010651,0.00013770148678262444,0.7571629873179901,Jun-22,2022-07-22
130011,bozrah school district,race/ethnicity,hispanic/latino of any race,7.995762246009612e-06,0.8929555293191651,0.0,0.8027307585542118,0.0,0.7514307733700578,Jun-22,2022-07-22
130011,bozrah school district,race/ethnicity,white,0.00019589617502723558,0.88823297914207,0.0002600324133426864,0.9268130405854964,0.00025966566079009177,0.7975575387505875,Jun-22,2022-07-22
130011,bozrah school district,high needs,students without high needs,0.00011393961200563701,0.9086973632428177,0.0001673076768018835,0.9477711244178315,0.00016720894823604395,0.8435885392202911,Jun-22,2022-07-22
130011,bozrah school district,high needs,students with high needs,0.00011993643369014423,0.887052341597796,0.00015722890109092668,0.890884896872921,0.00016720894823604395,0.7548144668858621,Jun-22,2022-07-22
140011,branford school district,unknown,all students,0.005011343987686526,0.8327430145611965,0.0051018762648863515,0.8675981370592156,0.005268065451483832,0.8393612024424613,Jun-22,2022-07-22
140011,branford school district,students with disabilities,students with disabilities,0.000603680049573726,0.78236914600551,0.0006551204212121945,0.8083832335329348,0.000694408926203806,0.7914513856270551,Jun-22,2022-07-22
140011,branford school district,free/reduced lunch,free meal eligible,0.0013452869978911176,0.7319952774498231,0.0015239108874966739,0.7594810379241523,0.001593402918484654,0.8186942226397376,Jun-22,2022-07-22
140011,branford school district,free/reduced lunch,reduced price meal eligible,0.00034581671713991585,0.8461235733963002,0.00039911951815389075,0.8835662009314706,0.0003462208810534557,0.8271488961953972,Jun-22,2022-07-22
140011,branford school district,free/reduced lunch,free/reduced price meal eligible,0.0017310825262610815,0.7567886658795748,0.0019230304056505646,0.7857618097139056,0.00193962379953811,0.8201033348990139,Jun-22,2022-07-22
140011,branford school district,english learners,english learners,0.00029184532197935095,0.8681621408894133,0.0002983317610443224,0.8719228210246177,0.00029704177863108984,0.8111789572569288,Jun-22,2022-07-22
140011,branford school district,race/ethnicity,all other races,0.000539713951605649,0.8823297914207004,0.0005603799295292002,0.9068529607451765,0.000576379080390128,0.859088774072335,Jun-22,2022-07-22
140011,branford school district,race/ethnicity,black or african american,0.00015391842323568506,0.8248720975993704,0.00021165428993009358,0.8100465735196276,0.00019868357378635812,0.865664631282292,Jun-22,2022-07-22
140011,branford school district,race/ethnicity,hispanic/latino of any race,0.0007136217804563582,0.7516725698543882,0.0006954355240560218,0.7588157019294748,0.000672770121137965,0.7937999060591832,Jun-22,2022-07-22
140011,branford school district,race/ethnicity,white,0.0034841533986986898,0.8425816607634791,0.0036344065213710355,0.8855622089155024,0.0038202326761693807,0.8426491310474402,Jun-22,2022-07-22
140011,branford school district,high needs,students without high needs,0.002736549628696791,0.8803620621802439,0.0027051434008208155,0.9208250166334002,0.00290746853521027,0.855800845467356,Jun-22,2022-07-22
140011,branford school district,high needs,students with high needs,0.0021668515686686057,0.7784336875245965,0.0023261814340888383,0.8077178975382568,0.0023605969162735618,0.8186942226397376,Jun-22,2022-07-22
150011,bridgeport school district,unknown,all students,0.03690444064645738,0.7304210940574576,0.03677543681413931,0.7062541583499669,0.03820822825398449,0.7026773132926261,Jun-22,2022-07-22
150011,bridgeport school district,homelessness,students experiencing homelessness,0.00020589087783474757,0.5127902400629671,0.0001854494730816058,0.30239520958083865,0.0002104865583677259,0.35885392202912136,Jun-22,2022-07-22
150011,bridgeport school district,students with disabilities,students with disabilities,0.006472569538144783,0.6320346320346317,0.006617724131814259,0.602129075182968,0.007176214625471627,0.6223579145138558,Jun-22,2022-07-22
150011,bridgeport school district,free/reduced lunch,free meal eligible,0.019779516856066284,0.6753246753246755,0.021360957241801922,0.6506986027944115,0.02528002580919295,0.6651009863785822,Jun-22,2022-07-22
150011,bridgeport school district,free/reduced lunch,reduced price meal eligible,0.0030763695241521993,0.8177882723337269,0.0027051434008208155,0.8013972055888225,0.0026832118281642815,0.7956787224048858,Jun-22,2022-07-22
150011,bridgeport school district,free/reduced lunch,free/reduced price meal eligible,0.022895865191448532,0.6946084218811492,0.024066100642622736,0.6676646706586831,0.02796323763735723,0.6777829967120717,Jun-22,2022-07-22
150011,bridgeport school district,english learners,english learners,0.008309595914165493,0.77646595828414,0.007442167984970529,0.7265469061876249,0.008340775770833251,0.733677782996712,Jun-22,2022-07-22
